date,trips,trips_member,trips_casual,trips_member_classic,trips_member_electric,trips_casual_classic,trips_casual_electric
2016-07-01,1555,825,730,,,,
2016-07-02,2517,921,1596,,,,
2016-07-03,2519,928,1591,,,,
2016-07-04,2843,1897,946,,,,
2016-07-05,3123,2276,847,,,,
2016-07-06,3296,2387,909,,,,
2016-07-07,3075,2350,725,,,,
2016-07-08,3277,2233,1044,,,,
2016-07-09,2836,1336,1500,,,,
2016-07-10,3278,1332,1946,,,,
2016-07-11,3537,2317,1220,,,,
2016-07-12,3788,2588,1200,,,,
2016-07-13,3749,2559,1190,,,,
2016-07-14,3496,2355,1141,,,,
2016-07-15,3790,2541,1249,,,,
2016-07-16,3846,1571,2275,,,,
2016-07-17,3765,1520,2245,,,,
2016-07-18,3749,2546,1203,,,,
2016-07-19,4155,2900,1255,,,,
2016-07-20,4163,2977,1186,,,,
2016-07-21,4328,3015,1313,,,,
2016-07-22,3783,2675,1108,,,,
2016-07-23,3393,1661,1732,,,,
2016-07-24,3361,1508,1853,,,,
2016-07-25,3236,2285,951,,,,
2016-07-26,4203,3013,1190,,,,
2016-07-27,4054,2979,1075,,,,
2016-07-28,4135,3054,1081,,,,
2016-07-29,4225,2875,1350,,,,
2016-07-30,3791,1482,2309,,,,
2016-07-31,2518,1112,1406,,,,
2016-08-01,3696,1470,2226,,,,
2016-08-02,4455,3019,1436,,,,
2016-08-03,4559,3172,1387,,,,
2016-08-04,4537,3210,1327,,,,
2016-08-05,4346,3019,1327,,,,
2016-08-06,4215,1858,2357,,,,
2016-08-07,4232,1774,2458,,,,
2016-08-08,4690,3094,1596,,,,
2016-08-09,4647,3333,1314,,,,
2016-08-10,4552,3203,1349,,,,
2016-08-11,4346,3186,1160,,,,
2016-08-12,4086,2940,1146,,,,
2016-08-13,2462,1412,1050,,,,
2016-08-14,3400,1639,1761,,,,
2016-08-15,4514,3126,1388,,,,
2016-08-16,2933,2130,803,,,,
2016-08-17,4456,3436,1020,,,,
2016-08-18,4621,3362,1259,,,,
2016-08-19,4627,3264,1363,,,,
2016-08-20,4100,1800,2300,,,,
2016-08-21,3985,1707,2278,,,,
2016-08-22,4239,3042,1197,,,,
2016-08-23,4776,3364,1412,,,,
2016-08-24,4879,3425,1454,,,,
2016-08-25,3632,2657,975,,,,
2016-08-26,4489,3217,1272,,,,
2016-08-27,4323,2045,2278,,,,
2016-08-28,3639,1741,1898,,,,
2016-08-29,4273,3104,1169,,,,
2016-08-30,4537,3364,1173,,,,
2016-08-31,4191,3364,827,,,,
2016-09-01,4430,3359,1071,,,,
2016-09-02,4380,3210,1170,,,,
2016-09-03,4026,1723,2303,,,,
2016-09-04,4657,1627,3030,,,,
2016-09-05,4313,1766,2547,,,,
2016-09-06,4219,3265,954,,,,
2016-09-07,4181,3330,851,,,,
2016-09-08,3913,3188,725,,,,
2016-09-09,5050,3864,1186,,,,
2016-09-10,3267,2065,1202,,,,
2016-09-11,3515,2021,1494,,,,
2016-09-12,4788,3703,1085,,,,
